counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance
0,10.0,40,1,30,0.63441026,4.133333333333334
0,100.0,130,2,30,0.64863455,4.966666666666667
0,190.0,220,3,30,0.5772191,5.433333333333334
0,280.0,310,4,30,0.578994,5.133333333333334
0,370.0,400,5,30,0.5381096,5.0
0,460.0,471,6,30,0.49584934,4.8
1,20.0,50,1,30,0.7018869,5.066666666666666
1,110.0,140,2,30,0.67063504,5.6
1,200.0,230,3,30,0.63364595,6.233333333333333
1,290.0,320,4,30,0.62007636,5.766666666666667
1,380.0,410,5,30,0.6330024,5.266666666666667
1,470.0,471,6,30,0.29924843,3.3666666666666667
2,30.0,60,1,30,0.6854396,4.6
2,120.0,150,2,30,0.6159487,5.366666666666666
2,210.0,240,3,30,0.5567313,6.033333333333333
2,300.0,330,4,30,0.55824506,5.533333333333333
2,390.0,420,5,30,0.56685954,4.933333333333334
3,40.0,70,1,30,0.6869053,4.933333333333334
3,130.0,160,2,30,0.5942942,5.266666666666667
3,220.0,250,3,30,0.6298382,5.433333333333334
3,310.0,340,4,30,0.65766215,5.433333333333334
3,400.0,430,5,30,0.5769566,4.633333333333334
4,50.0,80,1,30,0.68350697,4.033333333333333
4,140.0,170,2,30,0.5241912,4.6
4,230.0,260,3,30,0.5526718,5.766666666666667
4,320.0,350,4,30,0.6213558,5.166666666666667
4,410.0,440,5,30,0.5071605,5.133333333333334
5,60.0,90,1,30,0.6359046,4.033333333333333
5,150.0,180,2,30,0.55617,6.633333333333334
5,240.0,270,3,30,0.55696636,5.766666666666667
5,330.0,360,4,30,0.6034756,5.2
5,420.0,450,5,30,0.52847344,6.766666666666667
6,70.0,100,1,30,0.69024295,5.833333333333333
6,160.0,190,2,30,0.56653553,6.466666666666667
6,250.0,280,3,30,0.57723224,5.4
6,340.0,370,4,30,0.6684372,5.0
6,430.0,460,5,30,0.5876234,6.633333333333334
7,80.0,110,1,30,0.5475425,5.766666666666667
7,170.0,200,2,30,0.5575358,6.3
7,260.0,290,3,30,0.5487892,4.9
7,350.0,380,4,30,0.6549166,5.266666666666667
7,440.0,470,5,30,0.56787634,6.366666666666666
8,90.0,120,1,30,0.58962435,5.3
8,180.0,210,2,30,0.5786973,6.1
8,270.0,300,3,30,0.60104966,5.5
8,360.0,390,4,30,0.53545094,4.833333333333333
8,450.0,471,5,30,0.53928894,6.033333333333333
