counterbalance,offset,onset,description_stop,n_response,importance,consensus_isc,consensus_paired,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,40,10,1,30,5.1,0.4960989,0.5128956,80,70,50,48,34,53
1,50,20,1,29,5.655172413793103,0.47316697,0.49133363,90,80,60,54,41,60
2,60,30,1,30,5.2,0.44703707,0.46546915,100,90,70,61,48,67
3,70,40,1,30,4.833333333333333,0.3918354,0.4121076,110,100,80,68,54,73
4,80,50,1,30,4.5,0.39161345,0.41189298,120,110,90,74,61,80
5,90,60,1,30,3.8666666666666663,0.43093172,0.44990066,130,120,100,81,68,87
6,100,70,1,32,4.1875,0.47047114,0.4870189,140,130,110,88,74,93
7,110,80,1,30,4.866666666666666,0.4145606,0.4340752,150,140,120,94,81,100
8,120,90,1,30,5.3,0.45409328,0.47229022,160,150,130,101,88,107
0,130,100,2,30,5.266666666666667,0.44979885,0.46813884,170,160,140,108,94,113
1,140,110,2,29,4.827586206896552,0.39630854,0.4171255,180,170,150,114,101,120
2,150,120,2,30,4.066666666666666,0.41731003,0.43673304,190,180,160,121,108,127
3,160,130,2,30,4.3,0.42632666,0.4454491,200,190,170,128,114,133
4,170,140,2,30,4.6,0.42110923,0.44040558,210,200,180,134,121,140
5,180,150,2,30,4.5,0.4247343,0.44390985,220,210,190,141,128,147
6,190,160,2,32,4.15625,0.52792364,0.542676,230,220,200,148,134,153
7,200,170,2,30,3.933333333333333,0.47441614,0.49193558,240,230,210,154,141,160
8,210,180,2,30,4.633333333333334,0.43292713,0.45182958,250,240,220,161,148,167
0,220,190,3,30,4.5,0.44049126,0.45914158,260,250,230,168,154,173
1,230,200,3,29,5.172413793103448,0.38898432,0.41005388,270,260,240,174,161,180
2,240,210,3,30,4.833333333333333,0.43390837,0.45277813,280,270,250,181,168,187
3,250,220,3,30,5.233333333333333,0.48033217,0.4976544,290,280,260,188,174,193
4,260,230,3,30,5.8,0.5546424,0.5694876,300,290,270,194,181,200
5,270,240,3,30,5.266666666666667,0.5244248,0.5402773,310,300,280,201,188,207
6,280,250,3,32,5.15625,0.54816675,0.5622865,320,310,290,208,194,213
7,290,260,3,30,5.866666666666666,0.52958417,0.54526466,330,320,300,214,201,220
8,300,270,3,30,6.0,0.473947,0.49148208,340,330,310,221,208,227
0,310,280,4,30,5.366666666666666,0.5501125,0.5651087,350,340,320,228,214,233
1,320,290,4,29,5.413793103448276,0.48677772,0.504475,360,350,330,234,221,240
2,330,300,4,30,4.966666666666667,0.5630113,0.5775776,370,360,340,241,228,247
3,340,310,4,30,5.166666666666667,0.56934816,0.58370316,380,370,350,248,234,253
4,350,320,4,30,5.366666666666666,0.54834294,0.5633982,390,380,360,254,241,260
5,360,330,4,30,4.9,0.46188945,0.47982645,400,390,370,261,248,267
6,370,340,4,32,3.75,0.42926547,0.44710094,410,400,380,268,254,273
7,380,350,4,30,3.933333333333333,0.4262307,0.4453563,420,410,390,274,261,280
8,390,360,4,30,4.333333333333333,0.46076217,0.4787367,430,420,400,281,268,287
0,400,370,5,30,4.933333333333334,0.43750829,0.45625803,440,430,410,288,274,293
1,410,380,5,29,4.724137931034483,0.3960634,0.41688877,450,440,420,294,281,300
2,420,390,5,30,3.466666666666667,0.34547132,0.36728898,460,450,430,301,288,307
3,430,400,5,30,4.1,0.46515197,0.48298028,470,460,440,308,294,313
4,440,410,5,30,4.1,0.48009148,0.49742174,480,470,450,314,301,320
5,450,420,5,30,4.1,0.5291717,0.544866,490,480,460,321,308,327
6,460,430,5,31,3.2903225806451615,0.50102174,0.5171178,500,490,470,328,314,333
7,470,440,5,30,3.8666666666666663,0.5408158,0.5561219,510,500,480,334,321,340
8,480,450,5,30,4.166666666666667,0.48207107,0.4993354,520,510,490,341,328,347
0,490,460,6,30,3.6333333333333337,0.49578074,0.512588,530,520,500,348,334,353
1,500,470,6,29,3.9655172413793105,0.5036026,0.5207197,540,530,510,354,341,360
2,510,480,6,30,2.8,0.4792346,0.49659345,550,540,520,361,348,367
3,520,490,6,30,2.9,0.5045435,0.52105874,560,550,530,368,354,373
4,530,500,6,30,3.533333333333333,0.51916265,0.5351906,570,560,540,374,361,380
5,540,510,6,30,3.2666666666666666,0.46898454,0.486685,580,570,550,381,368,387
6,550,520,6,31,3.5161290322580645,0.5513266,0.56579995,590,580,560,388,374,393
7,560,530,6,30,2.933333333333333,0.6023966,0.6156501,600,590,570,394,381,400
8,570,540,6,30,3.0,0.70603997,0.7158385,610,600,580,401,388,407
0,580,550,7,30,3.3333333333333335,0.6435424,0.6554244,620,610,590,408,394,413
1,590,560,7,29,4.413793103448276,0.6103405,0.623777,630,620,600,414,401,420
2,600,570,7,30,4.266666666666667,0.5881449,0.6018733,640,630,610,421,408,427
3,610,580,7,30,3.8333333333333335,0.53648317,0.5519338,650,640,620,428,414,433
4,620,590,7,30,4.066666666666666,0.5634971,0.5780472,660,650,630,434,421,440
5,630,600,7,30,4.066666666666666,0.6161375,0.6289329,670,660,640,441,428,447
6,640,610,7,31,4.548387096774194,0.56735265,0.5813091,680,670,650,448,434,453
7,650,620,7,30,4.766666666666667,0.55738735,0.57214105,690,680,660,454,441,460
8,660,630,7,30,4.7,0.55555916,0.5703739,700,690,670,461,448,467
0,664,640,8,30,3.966666666666667,0.59389204,0.60742897,704,694,674,464,450,469
2,664,660,8,30,3.5,0.39444643,0.41463155,704,694,674,464,450,469
1,664,650,8,29,4.896551724137931,0.4912834,0.50882536,704,694,674,464,450,469
